seqname	start	end	strand	gene_id	class	log10_SuRE	log10_GROcap	LRS
chr1	633535	633741	+	ENSG00000240409.1	iLAD	-0.439499221129196	-1.34242268082221	1.50006995881231
chr1	634376	634922	+	ENSG00000198744.5	iLAD	-0.383808600666134	-1.30582887854575	1.54870960707099
chr1	725885	778626	-	ENSG00000228327.3	iLAD	1.46618908776641	0.393754845761851	0.702762875874651
chr1	826832	852225	+	ENSG00000228794.8	iLAD	0.864785031153699	-0.961019958303182	0.119342497269185
chr1	826206	827522	-	ENSG00000225880.5	iLAD	1.49650792823536	-0.316936759799507	-0.0355071967449133
chr1	827608	859446	+	ENSG00000228794.8	iLAD	0.946766048291485	-0.961019958303182	-0.0942972989274936
chr1	831605	842020	+	ENSG00000228794.8	iLAD	0.373012372110195	-3.3014640731433	-1.16777617171391
chr1	904834	915976	+	ENSG00000272438.1	iLAD	0.719050149067057	0.0423382600183553	1.4275156630615
chr1	923928	939291	+	ENSG00000187634.11	iLAD	1.00497351522265	-1.66799561756371	-0.865497260385965
chr1	925738	944575	+	ENSG00000187634.11	iLAD	1.27122225887259	-3.3014640731433	-2.77339204419151
chr1	939275	944259	+	ENSG00000187634.11	iLAD	0.386363852361235	-1.7103994661168	0.369837732111463
chr1	942103	942802	+	ENSG00000187634.11	iLAD	-0.359891404394475	-2.34722156370397	0.517909113186632
chr1	958246	959256	-	ENSG00000188976.10	iLAD	2.12908581208201	0.258801324719415	0.51905641057482
chr1	960587	965715	+	ENSG00000187961.13	iLAD	-0.644238288842573	-0.840566230386752	2.09666635348864
chr1	966497	975108	+	ENSG00000187583.10	iLAD	0.838746488528591	-0.794959040738428	0.367754986625247
chr1	975204	982093	-	ENSG00000187642.9	iLAD	-0.312484350169687	-3.3014640731433	-0.470019666791039
chr1	998966	1000096	-	ENSG00000188290.10	iLAD	1.124205935593	-1.20455406013524	-0.538681941555012
chr1	1020123	1056118	+	ENSG00000188157.14	iLAD	2.06705481851255	-0.687622251267231	-0.423743993752939
chr1	1059734	1066456	+	ENSG00000217801.9	iLAD	0.820800996073536	-0.657025483675461	0.562444389494182
chr1	1064495	1066274	+	ENSG00000217801.9	iLAD	0.67983480915536	-1.0296224666068	0.427384618084263
chr1	1070966	1074307	-	ENSG00000237330.2	iLAD	-0.106489058309213	-1.50212352368972	1.11914277701723
chr1	1081818	1116081	-	ENSG00000131591.17	iLAD	1.83541127168285	-0.729755241334612	-0.473874329618958
chr1	1173884	1175034	+	ENSG00000162571.13	iLAD	-0.420156882660179	-3.3014640731433	-0.463938035702482
chr1	1179697	1185864	+	ENSG00000162571.13	iLAD	-0.947150477690862	-3.3014640731433	-0.352788530420058
chr1	1203508	1206571	-	ENSG00000186891.13	iLAD	0.148679296571038	-3.3014640731433	-0.805391808454015
chr1	1211326	1214132	-	ENSG00000186827.10	iLAD	0.539327615212469	-2.60249406880728	-0.789499282374621
chr1	1227272	1231968	-	ENSG00000078808.16	iLAD	1.58279898934437	0.510713701015454	0.799449805860683
chr1	1232265	1235041	+	ENSG00000176022.4	iLAD	0.901662895832799	-0.83459645278919	0.138333050807191
chr1	1243266	1244418	-	ENSG00000184163.3	iLAD	-5.29227882030941	-2.34722156370397	0.609399164811232
chr1	1256049	1273790	-	ENSG00000160087.20	iLAD	2.41462605543409	-0.261257445568589	-0.0364165219754255
chr1	1292376	1308018	-	ENSG00000131584.18	iLAD	1.71211412909532	-0.509773424123182	-0.282319562873594
chr1	1308567	1311677	+	ENSG00000169972.11	iLAD	1.96673399011753	-0.0303197551942215	0.200165460841672
chr1	1314413	1324629	-	ENSG00000127054.20	iLAD	1.72355962315233	0.206796232369035	0.429444997486595
chr1	1324756	1327994	+	ENSG00000224051.6	iLAD	0.831024499150611	-0.555608877969571	0.631527328921894
chr1	1331314	1335306	+	ENSG00000169962.4	iLAD	-1.29674022202694	-3.3014640731433	-0.332326767500336
chr1	1335276	1349350	-	ENSG00000107404.19	iLAD	1.29617287620738	-0.953159210095139	-0.384580796303218
chr1	1353215	1354247	-	ENSG00000162576.16	iLAD	-0.532129978508489	-3.3014640731433	-0.425032795599266
chr1	1355004	1355512	-	ENSG00000162576.16	iLAD	0.303005201873668	-2.82434281842364	-0.700948634878488
chr1	1352691	1358535	-	ENSG00000162576.16	iLAD	0.237349489440758	-0.622945694103186	1.66110930648079
chr1	1352692	1361777	-	ENSG00000162576.16	iLAD	-0.821028362252598	-1.90352406447126	1.05317080871347
chr1	1374244	1375144	-	ENSG00000175756.13	iLAD	1.73753796478975	0.242728037621733	0.471555514735048
chr1	1385711	1391096	-	ENSG00000221978.11	iLAD	1.06970156914206	-1.33298112458936	-0.604648699892875
chr1	1386499	1399309	-	ENSG00000221978.11	iLAD	1.73876111536316	-0.214748409198417	0.0146545292735657
chr1	1399552	1400608	+	ENSG00000224870.6	iLAD	1.48085262014597	0.025076595373262	0.32170042158951
chr1	1406249	1407235	-	ENSG00000242485.5	iLAD	2.44091738155023	0.151395262652552	0.375747568079082
chr1	1419138	1421260	-	ENSG00000235098.8	iLAD	-0.518587325536512	-2.82434281842364	0.0481718777372748
chr1	1426128	1427787	+	ENSG00000205116.3	iLAD	-0.674176249522918	-2.60249406880728	0.33873115521841
chr1	1435671	1442882	+	ENSG00000179403.11	iLAD	-0.0899368891720547	-0.855859869869702	1.75428908361862
chr1	1462483	1468663	+	ENSG00000215915.9	iLAD	0.345521669541803	-2.26007138798507	-0.131920130060107
chr1	1471769	1496202	+	ENSG00000160072.19	iLAD	2.29367759856703	-0.422368193643227	-0.182526623463179
chr1	1512151	1534685	+	ENSG00000197785.13	iLAD	1.75989186572259	-0.993968035230087	-0.75462361402008
chr1	1541673	1574869	-	ENSG00000160075.11	iLAD	3.06456407816675	0.132625565274591	0.356977870701121
chr1	1574975	1577075	+	ENSG00000215014.4	iLAD	1.31983812285224	0.561680273109368	1.1026679688166
chr1	1598012	1600096	-	ENSG00000228594.3	iLAD	0.591507045544947	-1.87010030898431	-0.129314552450911
chr1	1613758	1615795	-	ENSG00000272106.1	iLAD	2.29036943100256	-0.748795857031107	-0.508543990979823
chr1	1615879	1630604	+	ENSG00000197530.12	iLAD	2.19830253983104	-0.11366143442488	0.138009038631329
chr1	1627522	1629270	+	ENSG00000197530.12	iLAD	0.0318014055401082	-1.90352406447126	0.71166960624605
chr1	1632178	1634474	+	ENSG00000189409.13	iLAD	0.0177434495365354	-2.82434281842364	-0.204295441055598
chr1	1641772	1658972	-	ENSG00000248333.8	iLAD	2.13984848745913	-0.27329965371883	-0.0143794099427996
chr1	1722708	1724274	-	ENSG00000008128.22	iLAD	1.86517681244361	0.0973436570599647	0.332429542531915
chr1	1756588	1778419	-	ENSG00000008130.15	iLAD	1.62570814052893	-0.645365871130468	-0.356787666293743
chr1	1756004	1779962	-	ENSG00000008130.15	iLAD	0.790128943478635	-1.11113237497301	0.187005875982385
chr1	1804526	1832285	-	ENSG00000078369.17	iLAD	-0.22225830714884	-2.34722156370397	0.374110905587831
chr1	1785286	1891056	-	ENSG00000078369.17	iLAD	1.51102721984507	-0.831642057165137	-0.567132946167828
chr1	1915409	1917071	+	ENSG00000169885.9	iLAD	-0.486052060973688	-3.3014640731433	-0.442252349937993
chr1	1917845	1919258	-	ENSG00000178821.12	iLAD	1.67634624028686	-0.560312474291515	-0.317842385406122
chr1	1946348	1960106	-	ENSG00000142609.17	iLAD	0.218114987094365	-2.60249406880728	-0.267295160068699
chr1	1953313	2003837	-	ENSG00000142609.17	iLAD	0.622156441785634	-1.48855071650044	0.149477326010091
chr1	2019329	2030079	+	ENSG00000187730.8	iLAD	-1.02346184786045	-2.82434281842364	0.150383165160839
chr1	2050470	2185395	+	ENSG00000067606.16	iLAD	0.973555373972416	-2.26007138798507	-1.42502793808473
chr1	2073719	2146086	+	ENSG00000067606.16	iLAD	0.243116792693427	-3.3014640731433	-1.03305563936614
chr1	2104716	2150870	+	ENSG00000067606.16	iLAD	-0.394744958192266	-3.3014640731433	-0.454433607977703
chr1	2111654	2150978	+	ENSG00000067606.16	iLAD	-1.25355319741583	-3.3014640731433	-0.331576354543728
chr1	2133638	2148924	+	ENSG00000067606.16	iLAD	0.89847421900686	-0.685514021486899	0.29614890620341
chr1	2134990	2150979	+	ENSG00000067606.16	iLAD	0.082270550529886	-3.3014640731433	-0.776126388868658
chr1	2145387	2185116	+	ENSG00000067606.16	iLAD	0.18228141441697	-3.3014640731433	-0.878762239537147
chr1	2189548	2194774	-	ENSG00000162585.16	iLAD	1.75910491149579	-0.344815493938097	-0.105841314755857
chr1	2232479	2303038	+	ENSG00000157933.9	iLAD	0.26453939538601	-2.45636603312904	-0.246076649022142
chr1	2247996	2303376	+	ENSG00000157933.9	iLAD	-0.0225440069597247	-2.45636603312904	0.176601717879912
chr1	2303646	2304368	+	ENSG00000157933.9	iLAD	0.191632464748763	-3.3014640731433	-0.901596810401244
chr1	2371676	2385121	-	ENSG00000116151.13	iLAD	-0.0519996964696373	-2.02271047219047	0.618342745011154
chr1	2378055	2391671	-	ENSG00000116151.13	iLAD	2.05005243455671	-0.581304769737343	-0.316436898864817
